district_id,district,province,province_id,area_sqkm,center_lat,center_lon
PK312,Tangir,Gilgit Baltistan,PK3,1102.33582396,35.74509055,73.31614423
PK313,Gupis-Yasin,Gilgit Baltistan,PK3,7726.10957105,36.28469598,73.20519062
PK314,Rondu,Gilgit Baltistan,PK3,1881.90223269,35.58728773,75.15829268
PK401,Islamabad,Islamabad,PK4,901.53277708,33.65087509,72.95796258
PK501,Abbottabad,Khyber Pakhtunkhwa,PK5,1639.51651569,34.09458,73.29114082
PK502,Bajaur,Khyber Pakhtunkhwa,PK5,1366.31035562,34.74578541,71.48571789
PK503,Bannu,Khyber Pakhtunkhwa,PK5,2027.75039382,32.98501673,70.65532028
PK504,Batagram,Khyber Pakhtunkhwa,PK5,1485.17921251,34.76181944,73.13743152
PK505,Buner,Khyber Pakhtunkhwa,PK5,1774.04750615,34.43074675,72.55625697
PK506,Charsadda,Khyber Pakhtunkhwa,PK5,999.13569191,34.24785874,71.6993962
PK507,Chitral Lower,Khyber Pakhtunkhwa,PK5,6077.26981283,35.84739867,71.82643755
PK508,Chitral Upper,Khyber Pakhtunkhwa,PK5,8615.41708009,36.32803282,72.26885597
PK509,D. I. Khan,Khyber Pakhtunkhwa,PK5,9028.55237085,31.84997228,70.62503697
PK510,Hangu,Khyber Pakhtunkhwa,PK5,1372.01617391,33.41216501,70.80415868
PK511,Haripur,Khyber Pakhtunkhwa,PK5,1953.89967495,34.047845,72.87563655
PK512,Karak,Khyber Pakhtunkhwa,PK5,2648.38621723,33.10125923,71.11055422
PK513,Khyber,Khyber Pakhtunkhwa,PK5,2747.42682026,34.03999341,71.20540631
PK514,Kohat,Khyber Pakhtunkhwa,PK5,3438.4986077,33.4122454,71.48822723
PK515,Kohistan Lower,Khyber Pakhtunkhwa,PK5,823.48391275,35.14968862,72.92296094
PK516,Kohistan Upper,Khyber Pakhtunkhwa,PK5,5484.72716458,35.42281309,73.22132139
PK517,Kolai Palas Kohistan,Khyber Pakhtunkhwa,PK5,1229.71554569,35.06743769,73.17507477
PK518,Kurram,Khyber Pakhtunkhwa,PK5,3398.38065188,33.68964227,70.38436706
PK519,Lakki Marwat,Khyber Pakhtunkhwa,PK5,3339.82422522,32.57034302,70.87971831
PK520,Lower Dir,Khyber Pakhtunkhwa,PK5,1604.74402536,34.84093998,71.82022236
PK521,Malakand,Khyber Pakhtunkhwa,PK5,905.69548855,34.51663484,71.82362875
PK522,Mansehra,Khyber Pakhtunkhwa,PK5,4032.01335155,34.69573444,73.51194286
PK523,Mardan,Khyber Pakhtunkhwa,PK5,1636.40851631,34.30337073,72.08078636
PK524,Mohmand,Khyber Pakhtunkhwa,PK5,2261.95277866,34.44608498,71.36649295
PK525,North Waziristan,Khyber Pakhtunkhwa,PK5,4929.68007597,32.95705063,69.94281704
PK526,Nowshera,Khyber Pakhtunkhwa,PK5,1725.7120937,33.91709153,72.00280899
PK527,Orakzai,Khyber Pakhtunkhwa,PK5,1369.8914274,33.69490257,70.87820005
PK528,Peshawar,Khyber Pakhtunkhwa,PK5,1539.07126618,33.94172579,71.60001124
PK529,Shangla,Khyber Pakhtunkhwa,PK5,1384.20588591,34.84665636,72.78985421
PK530,South Waziristan,Khyber Pakhtunkhwa,PK5,6224.4073654,32.29148104,69.67752489
PK531,Swabi,Khyber Pakhtunkhwa,PK5,1480.46280927,34.14118681,72.47676184
PK532,Swat,Khyber Pakhtunkhwa,PK5,5348.32937554,35.2330758,72.5118498
PK533,Tank,Khyber Pakhtunkhwa,PK5,2818.77858181,32.31868422,70.37376025
PK534,Tor Ghar,Khyber Pakhtunkhwa,PK5,454.38119883,34.55859259,72.87595298
PK535,Upper Dir,Khyber Pakhtunkhwa,PK5,3731.82160953,35.3105344,72.0481809
PK601,Attock,Punjab,PK6,6910.04970309,33.50337417,72.42512196
PK602,Bahawalnagar,Punjab,PK6,8576.76320851,29.57719716,72.9974034
PK603,Bahawalpur,Punjab,PK6,23966.10591837,28.8304431,71.7666501
PK604,Bhakkar,Punjab,PK6,8473.12635262,31.68112012,71.33790158
PK605,Chakwal,Punjab,PK6,6487.50656477,32.87374483,72.53323807
PK606,Chiniot,Punjab,PK6,2602.01927523,31.66979543,72.79243
PK607,Dera Ghazi Khan,Punjab,PK6,11765.67844416,30.48032384,70.4100883
PK608,Faisalabad,Punjab,PK6,5947.43182328,31.2310601,73.19763368
PK609,Gujranwala,Punjab,PK6,3619.8328547,32.18838648,74.05372074
PK610,Gujrat,Punjab,PK6,3168.33130693,32.71804504,74.03785233
PK611,Hafizabad,Punjab,PK6,2277.34435767,32.05113548,73.54302764
PK612,Jhang,Punjab,PK6,6345.11565918,31.17189682,72.14166654
PK613,Jhelum,Punjab,PK6,3568.79814408,32.83624202,73.37282857
PK614,Kasur,Punjab,PK6,3986.66516315,31.0029126,74.1400032
PK615,Khanewal,Punjab,PK6,4355.7504777,30.31571881,72.06509673
PK616,Khushab,Punjab,PK6,6599.60051073,32.1248951,72.05275251
PK617,Lahore,Punjab,PK6,1729.89310218,31.48633616,74.40526669
PK618,Leiah,Punjab,PK6,6412.72136053,30.9972231,71.28401856
PK619,Lodhran,Punjab,PK6,2666.34033024,29.67121717,71.7445945
PK620,Mandi Bahauddin,Punjab,PK6,2741.66629547,32.43475928,73.4708256
PK621,Mianwali,Punjab,PK6,5960.29596894,32.7042949,71.51477443
PK622,Multan,Punjab,PK6,3648.24511683,29.92585886,71.36563106
PK623,Muzaffargarh,Punjab,PK6,7688.07184639,29.89244746,71.01275141
PK624,Nankana Sahib,Punjab,PK6,2194.61281403,31.43215984,73.84967683
PK625,Narowal,Punjab,PK6,2376.3135068,32.2057745,75.04336592
PK626,Okara,Punjab,PK6,4437.23687817,30.69713738,73.73344494
PK627,Pakpattan,Punjab,PK6,2884.28424266,30.28861575,73.30698475
PK628,Rahim Yar Khan,Punjab,PK6,12848.72205835,28.4853645,70.46052284
PK629,Rajanpur,Punjab,PK6,12584.64545198,29.14549239,70.15288343
PK630,Rawalpindi,Punjab,PK6,5225.9680358,33.54128533,73.43812736
PK631,Sahiwal,Punjab,PK6,3228.72015582,30.55010773,72.89607312
PK632,Sargodha,Punjab,PK6,5845.8606836,32.06882987,72.78931955
PK633,Sheikhupura,Punjab,PK6,3628.42999999,31.71404137,73.98537396
PK634,Sialkot,Punjab,PK6,3068.19637917,32.44214906,74.56827469
PK635,Toba Tek Singh,Punjab,PK6,3081.52595378,30.92855181,72.53689753
PK636,Vehari,Punjab,PK6,4499.55699378,29.9828381,72.31882109
PK701,Badin,Sindh,PK7,6574.99399534,24.75188819,68.80112619
PK702,Central Karachi,Sindh,PK7,65.14430682,24.94788264,67.06042308
PK703,Dadu,Sindh,PK7,8017.50979333,26.76755163,67.50524221
PK704,East Karachi,Sindh,PK7,202.92209824,24.93169635,67.16310677
PK705,Ghotki,Sindh,PK7,6366.9015852,27.86581219,69.68379543
PK706,Hyderabad,Sindh,PK7,1018.90994912,25.3549688,68.44437083
PK707,Jacobabad,Sindh,PK7,2691.19918092,28.17641888,68.51427896
PK708,Jamshoro,Sindh,PK7,11230.86677138,25.78587411,67.8521514
PK709,Kambar Shahdad Kot,Sindh,PK7,5597.19296558,27.64661333,67.68315593
PK710,Kashmore,Sindh,PK7,2614.88804631,28.23644396,69.16735286
PK711,Khairpur,Sindh,PK7,16005.55620437,26.95958378,68.94114084
PK712,Korangi Karachi,Sindh,PK7,104.292021,24.83296763,67.14577966
PK713,Larkana,Sindh,PK7,1921.04093378,27.53083887,68.20205345
PK714,Malir Karachi,Sindh,PK7,2726.86074484,25.20658479,67.15990752
PK715,Matiari,Sindh,PK7,1457.94118511,25.77083578,68.42166918
PK716,Mirpur Khas,Sindh,PK7,3463.16192375,25.30700511,69.15966851
PK717,Naushahro Feroze,Sindh,PK7,3036.86300686,26.88836032,68.09807679
PK718,Sanghar,Sindh,PK7,10158.32230876,25.97916664,69.29124101
PK719,Shaheed Benazir Abad,Sindh,PK7,4582.23727887,26.30942815,68.28446911
PK720,Shikarpur,Sindh,PK7,2551.82858965,27.92214297,68.57210016
PK721,South Karachi,Sindh,PK7,507.62533692,24.89329951,66.84196952
PK722,Sujawal,Sindh,PK7,8687.46909659,24.38807462,68.15959914
PK723,Sukkur,Sindh,PK7,5178.71431705,27.5452996,69.06538781
PK724,Tando Allahyar,Sindh,PK7,1544.21552184,25.48053282,68.75265076
PK725,Tando Muhammad Khan,Sindh,PK7,1676.88704183,25.02470227,68.46005036
PK726,Tharparkar,Sindh,PK7,19682.93368476,24.94313761,70.24100586
PK727,Thatta,Sindh,PK7,7630.46055566,24.69419785,67.70902408
PK728,Umer Kot,Sindh,PK7,5489.58552876,25.33269304,69.81135762
PK729,West Karachi,Sindh,PK7,241.76628397,24.98689727,67.00838153
