district_id,district,province,province_id,area_sqkm,center_lat,center_lon,flood_exposure_raw,drought_stress_raw,heat_stress_raw,rainfall_variability_raw,population_density_raw,poverty_headcount_raw,rural_agri_share_raw
PK218,Lehri,Balochistan,PK2,3285.29198826,28.99352569,67.98600513,68.0,68.0,31.0,72.0,28.0,75.0,84.0
PK219,Loralai,Balochistan,PK2,3796.60264582,30.47794165,68.88004311,68.0,68.0,31.0,72.0,28.0,76.5,84.0
PK220,Mastung,Balochistan,PK2,4712.72577018,29.74562768,66.73051219,68.0,68.0,31.0,72.0,28.0,72.4,84.0
PK221,Musakhel,Balochistan,PK2,5900.70124576,30.89708389,69.95799643,68.0,76.0,31.0,72.0,28.0,88.2,84.0
PK222,Nasirabad,Balochistan,PK2,3224.90352226,28.62640723,68.12924434,92.0,68.0,37.0,78.0,140.0,75.2,84.0
PK223,Nushki,Balochistan,PK2,5863.17391284,29.44681298,65.73250908,68.0,94.0,31.0,72.0,28.0,71.0,84.0
PK224,Panjgur,Balochistan,PK2,17582.38584234,26.71466967,64.20205288,68.0,94.0,31.0,72.0,18.5,73.6,84.0
PK225,Pishin,Balochistan,PK2,6085.87697415,30.703028,67.13080676,68.0,68.0,31.0,72.0,28.0,61.2,78.0
PK226,Quetta,Balochistan,PK2,3759.73445787,30.14141302,67.07743419,68.0,68.0,22.5,62.0,850.0,46.3,24.5
PK227,Sherani,Balochistan,PK2,3050.54342514,31.68090077,69.76356767,68.0,76.0,31.0,72.0,28.0,89.4,97.0
PK228,Sibi,Balochistan,PK2,4965.91898088,29.72774177,68.25082253,68.0,68.0,37.0,78.0,28.0,66.8,84.0
PK229,Sohbatpur,Balochistan,PK2,786.87408887,28.54195553,68.52141184,92.0,68.0,31.0,72.0,28.0,77.3,84.0
PK230,Washuk,Balochistan,PK2,39031.17202285,27.79210581,64.30761724,68.0,94.0,31.0,72.0,7.6,86.8,92.5
PK231,Zhob,Balochistan,PK2,11936.64089288,31.21179421,69.19694404,68.0,76.0,31.0,72.0,28.0,79.5,84.0
PK232,Ziarat,Balochistan,PK2,3271.31573202,30.38073121,68.06567543,68.0,68.0,22.5,62.0,28.0,73.0,84.0
PK233,Shaheed Sikandarabad,Balochistan,PK2,3706.43499182,28.32719456,66.18001042,68.0,68.0,31.0,72.0,28.0,79.0,84.0
PK234,Duki,Balochistan,PK2,4336.47095976,30.1811,68.95959024,68.0,68.0,31.0,72.0,28.0,81.2,84.0
PK235,Chaman,Balochistan,PK2,1635.51326522,30.85581564,66.52685195,32.0,68.0,31.0,72.0,28.0,64.0,42.0
PK301,Astore,Gilgit Baltistan,PK3,5132.45856083,35.24827674,74.88360938,38.0,28.0,22.5,36.0,45.0,42.0,85.0
PK302,Diamir,Gilgit Baltistan,PK3,4215.4757865,35.37959086,74.21341466,38.0,28.0,22.5,36.0,45.0,38.0,85.0
PK303,Ghanche,Gilgit Baltistan,PK3,8673.95162396,35.22094462,76.65998124,38.0,28.0,22.5,36.0,45.0,38.5,85.0
PK304,Ghizer,Gilgit Baltistan,PK3,4323.53268454,36.37672968,73.88667028,52.0,28.0,22.5,36.0,45.0,36.1,85.0
PK305,Gilgit,Gilgit Baltistan,PK3,4016.02639844,35.96682929,74.50875764,52.0,28.0,22.5,36.0,45.0,28.5,58.0
PK306,Hunza,Gilgit Baltistan,PK3,11419.07593321,36.55148578,75.20522182,38.0,28.0,18.5,36.0,45.0,22.0,85.0
PK307,Skardu,Gilgit Baltistan,PK3,2118.9510952,35.25698268,75.52140039,38.0,28.0,18.5,36.0,45.0,32.4,85.0
PK308,Nagar,Gilgit Baltistan,PK3,3022.1555788,36.29820311,74.84205628,38.0,28.0,18.5,36.0,45.0,34.0,85.0
PK309,Kharmang,Gilgit Baltistan,PK3,5971.07699293,34.8367318,75.80374839,38.0,28.0,22.5,36.0,45.0,45.2,85.0
PK310,Shigar,Gilgit Baltistan,PK3,8513.354885,35.73634155,75.92160108,38.0,28.0,22.5,36.0,45.0,39.0,85.0
PK311,Darel,Gilgit Baltistan,PK3,1650.92586471,35.69912193,73.82870134,38.0,28.0,22.5,36.0,45.0,69.5,85.0
PK312,Tangir,Gilgit Baltistan,PK3,1102.33582396,35.74509055,73.31614423,38.0,28.0,22.5,36.0,45.0,68.0,85.0
PK313,Gupis-Yasin,Gilgit Baltistan,PK3,7726.10957105,36.28469598,73.20519062,38.0,28.0,22.5,36.0,45.0,38.0,85.0
PK314,Rondu,Gilgit Baltistan,PK3,1881.90223269,35.58728773,75.15829268,38.0,28.0,22.5,36.0,45.0,41.0,85.0
PK401,Islamabad,Islamabad,PK4,901.53277708,33.65087509,72.95796258,25.0,22.0,28.5,28.0,2215.0,3.1,49.6
PK501,Abbottabad,Khyber Pakhtunkhwa,PK5,1639.51651569,34.09458,73.29114082,32.0,38.0,28.0,42.0,680.0,11.2,76.5
PK502,Bajaur,Khyber Pakhtunkhwa,PK5,1366.31035562,34.74578541,71.48571789,32.0,38.0,28.0,42.0,320.0,72.4,82.0
PK503,Bannu,Khyber Pakhtunkhwa,PK5,2027.75039382,32.98501673,70.65532028,32.0,68.0,33.5,48.0,320.0,52.4,82.0
PK504,Batagram,Khyber Pakhtunkhwa,PK5,1485.17921251,34.76181944,73.13743152,32.0,38.0,28.0,42.0,320.0,55.0,82.0
PK505,Buner,Khyber Pakhtunkhwa,PK5,1774.04750615,34.43074675,72.55625697,32.0,38.0,28.0,42.0,320.0,49.8,82.0
PK506,Charsadda,Khyber Pakhtunkhwa,PK5,999.13569191,34.24785874,71.6993962,88.0,38.0,33.5,48.0,1620.0,35.6,82.0
PK507,Chitral Lower,Khyber Pakhtunkhwa,PK5,6077.26981283,35.84739867,71.82643755,74.0,24.0,21.0,38.0,45.0,44.5,82.0
PK508,Chitral Upper,Khyber Pakhtunkhwa,PK5,8615.41708009,36.32803282,72.26885597,74.0,24.0,21.0,38.0,22.0,46.0,82.0
PK509,D. I. Khan,Khyber Pakhtunkhwa,PK5,9028.55237085,31.84997228,70.62503697,88.0,68.0,33.5,48.0,220.0,58.4,78.5
PK510,Hangu,Khyber Pakhtunkhwa,PK5,1372.01617391,33.41216501,70.80415868,32.0,38.0,28.0,42.0,320.0,54.0,82.0
PK511,Haripur,Khyber Pakhtunkhwa,PK5,1953.89967495,34.047845,72.87563655,32.0,38.0,28.0,42.0,320.0,14.8,82.0
PK512,Karak,Khyber Pakhtunkhwa,PK5,2648.38621723,33.10125923,71.11055422,74.0,68.0,28.0,42.0,320.0,48.2,82.0
PK513,Khyber,Khyber Pakhtunkhwa,PK5,2747.42682026,34.03999341,71.20540631,32.0,38.0,28.0,42.0,320.0,68.2,82.0
PK514,Kohat,Khyber Pakhtunkhwa,PK5,3438.4986077,33.4122454,71.48822723,32.0,38.0,28.0,42.0,320.0,39.5,82.0
PK515,Kohistan Lower,Khyber Pakhtunkhwa,PK5,823.48391275,35.14968862,72.92296094,74.0,38.0,28.0,42.0,320.0,94.2,100.0
PK516,Kohistan Upper,Khyber Pakhtunkhwa,PK5,5484.72716458,35.42281309,73.22132139,74.0,38.0,21.0,38.0,48.0,95.8,100.0
PK517,Kolai Palas Kohistan,Khyber Pakhtunkhwa,PK5,1229.71554569,35.06743769,73.17507477,74.0,38.0,28.0,42.0,320.0,95.0,82.0
PK518,Kurram,Khyber Pakhtunkhwa,PK5,3398.38065188,33.68964227,70.38436706,32.0,38.0,28.0,42.0,320.0,69.5,82.0
PK519,Lakki Marwat,Khyber Pakhtunkhwa,PK5,3339.82422522,32.57034302,70.87971831,74.0,68.0,28.0,42.0,320.0,60.1,82.0
PK520,Lower Dir,Khyber Pakhtunkhwa,PK5,1604.74402536,34.84093998,71.82022236,32.0,38.0,28.0,42.0,320.0,55.0,82.0
PK521,Malakand,Khyber Pakhtunkhwa,PK5,905.69548855,34.51663484,71.82362875,32.0,38.0,28.0,42.0,320.0,38.0,82.0
PK522,Mansehra,Khyber Pakhtunkhwa,PK5,4032.01335155,34.69573444,73.51194286,32.0,38.0,28.0,42.0,320.0,26.5,82.0
PK523,Mardan,Khyber Pakhtunkhwa,PK5,1636.40851631,34.30337073,72.08078636,32.0,38.0,28.0,42.0,1420.0,34.2,78.4
PK524,Mohmand,Khyber Pakhtunkhwa,PK5,2261.95277866,34.44608498,71.36649295,32.0,38.0,28.0,42.0,320.0,74.8,82.0
PK525,North Waziristan,Khyber Pakhtunkhwa,PK5,4929.68007597,32.95705063,69.94281704,32.0,38.0,28.0,42.0,320.0,81.2,96.5
PK526,Nowshera,Khyber Pakhtunkhwa,PK5,1725.7120937,33.91709153,72.00280899,88.0,38.0,33.5,48.0,860.0,32.4,68.2
PK527,Orakzai,Khyber Pakhtunkhwa,PK5,1369.8914274,33.69490257,70.87820005,32.0,38.0,28.0,42.0,320.0,77.0,82.0
PK528,Peshawar,Khyber Pakhtunkhwa,PK5,1539.07126618,33.94172579,71.60001124,32.0,38.0,33.5,48.0,3400.0,27.8,48.2
PK529,Shangla,Khyber Pakhtunkhwa,PK5,1384.20588591,34.84665636,72.78985421,32.0,38.0,28.0,42.0,320.0,68.4,98.2
PK530,South Waziristan,Khyber Pakhtunkhwa,PK5,6224.4073654,32.29148104,69.67752489,32.0,38.0,28.0,42.0,320.0,82.5,82.0
PK531,Swabi,Khyber Pakhtunkhwa,PK5,1480.46280927,34.14118681,72.47676184,32.0,38.0,28.0,42.0,320.0,33.1,82.0
PK532,Swat,Khyber Pakhtunkhwa,PK5,5348.32937554,35.2330758,72.5118498,88.0,24.0,28.0,42.0,432.0,41.2,70.5
PK533,Tank,Khyber Pakhtunkhwa,PK5,2818.77858181,32.31868422,70.37376025,88.0,68.0,33.5,48.0,320.0,68.2,82.0
PK534,Tor Ghar,Khyber Pakhtunkhwa,PK5,454.38119883,34.55859259,72.87595298,32.0,38.0,28.0,42.0,320.0,55.0,82.0
PK535,Upper Dir,Khyber Pakhtunkhwa,PK5,3731.82160953,35.3105344,72.0481809,32.0,38.0,28.0,42.0,320.0,55.0,82.0
PK601,Attock,Punjab,PK6,6910.04970309,33.50337417,72.42512196,28.0,58.0,32.0,44.0,550.0,16.5,68.0
PK602,Bahawalnagar,Punjab,PK6,8576.76320851,29.57719716,72.9974034,28.0,65.0,32.0,44.0,550.0,52.4,68.0
PK603,Bahawalpur,Punjab,PK6,23966.10591837,28.8304431,71.7666501,28.0,65.0,35.2,56.0,149.0,53.8,67.8
PK604,Bhakkar,Punjab,PK6,8473.12635262,31.68112012,71.33790158,76.0,58.0,32.0,44.0,204.0,51.2,84.2
PK605,Chakwal,Punjab,PK6,6487.50656477,32.87374483,72.53323807,28.0,58.0,32.0,44.0,550.0,15.2,68.0
PK606,Chiniot,Punjab,PK6,2602.01927523,31.66979543,72.79243,28.0,26.0,32.0,44.0,550.0,38.5,68.0
PK607,Dera Ghazi Khan,Punjab,PK6,11765.67844416,30.48032384,70.4100883,28.0,26.0,32.0,44.0,550.0,35.0,68.0
PK608,Faisalabad,Punjab,PK6,5947.43182328,31.2310601,73.19763368,28.0,26.0,32.0,44.0,1356.0,19.3,52.2
PK609,Gujranwala,Punjab,PK6,3619.8328547,32.18838648,74.05372074,28.0,26.0,32.0,44.0,1380.0,14.2,41.2
PK610,Gujrat,Punjab,PK6,3168.33130693,32.71804504,74.03785233,28.0,26.0,32.0,44.0,550.0,11.5,68.0
PK611,Hafizabad,Punjab,PK6,2277.34435767,32.05113548,73.54302764,28.0,26.0,32.0,44.0,550.0,22.0,68.0
PK612,Jhang,Punjab,PK6,6345.11565918,31.17189682,72.14166654,28.0,26.0,32.0,44.0,550.0,40.2,68.0
PK613,Jhelum,Punjab,PK6,3568.79814408,32.83624202,73.37282857,28.0,26.0,32.0,44.0,550.0,9.8,68.0
PK614,Kasur,Punjab,PK6,3986.66516315,31.0029126,74.1400032,28.0,26.0,32.0,44.0,550.0,24.5,68.0
PK615,Khanewal,Punjab,PK6,4355.7504777,30.31571881,72.06509673,28.0,26.0,32.0,44.0,550.0,36.8,68.0
PK616,Khushab,Punjab,PK6,6599.60051073,32.1248951,72.05275251,28.0,26.0,32.0,44.0,550.0,35.8,68.0
PK617,Lahore,Punjab,PK6,1729.89310218,31.48633616,74.40526669,28.0,26.0,32.0,44.0,6275.0,5.6,0.0
PK618,Leiah,Punjab,PK6,6412.72136053,30.9972231,71.28401856,76.0,58.0,32.0,44.0,550.0,48.6,68.0
PK619,Lodhran,Punjab,PK6,2666.34033024,29.67121717,71.7445945,28.0,26.0,32.0,44.0,550.0,54.1,68.0
PK620,Mandi Bahauddin,Punjab,PK6,2741.66629547,32.43475928,73.4708256,28.0,26.0,32.0,44.0,550.0,18.4,68.0
PK621,Mianwali,Punjab,PK6,5960.29596894,32.7042949,71.51477443,76.0,58.0,32.0,44.0,550.0,36.4,68.0
PK622,Multan,Punjab,PK6,3648.24511683,29.92585886,71.36563106,28.0,26.0,35.2,56.0,1263.0,38.2,56.1
PK623,Muzaffargarh,Punjab,PK6,7688.07184639,29.89244746,71.01275141,76.0,26.0,35.2,56.0,550.0,64.8,83.5
PK624,Nankana Sahib,Punjab,PK6,2194.61281403,31.43215984,73.84967683,28.0,26.0,32.0,44.0,550.0,23.5,68.0
PK625,Narowal,Punjab,PK6,2376.3135068,32.2057745,75.04336592,28.0,26.0,32.0,44.0,550.0,19.5,68.0
PK626,Okara,Punjab,PK6,4437.23687817,30.69713738,73.73344494,28.0,26.0,32.0,44.0,550.0,31.2,68.0
PK627,Pakpattan,Punjab,PK6,2884.28424266,30.28861575,73.30698475,28.0,26.0,32.0,44.0,550.0,42.0,68.0
PK628,Rahim Yar Khan,Punjab,PK6,12848.72205835,28.4853645,70.46052284,28.0,65.0,35.2,56.0,550.0,58.6,78.5
PK629,Rajanpur,Punjab,PK6,12584.64545198,29.14549239,70.15288343,88.0,26.0,35.2,56.0,162.0,64.4,85.2
PK630,Rawalpindi,Punjab,PK6,5225.9680358,33.54128533,73.43812736,28.0,26.0,28.6,31.0,1022.0,7.9,46.0
PK631,Sahiwal,Punjab,PK6,3228.72015582,30.55010773,72.89607312,28.0,26.0,32.0,44.0,550.0,25.1,68.0
PK632,Sargodha,Punjab,PK6,5845.8606836,32.06882987,72.78931955,28.0,26.0,32.0,44.0,550.0,28.4,68.0
PK633,Sheikhupura,Punjab,PK6,3628.42999999,31.71404137,73.98537396,28.0,26.0,32.0,44.0,550.0,35.0,68.0
PK634,Sialkot,Punjab,PK6,3068.19637917,32.44214906,74.56827469,28.0,26.0,32.0,44.0,1280.0,10.4,68.0
PK635,Toba Tek Singh,Punjab,PK6,3081.52595378,30.92855181,72.53689753,28.0,26.0,32.0,44.0,550.0,22.8,68.0
PK636,Vehari,Punjab,PK6,4499.55699378,29.9828381,72.31882109,28.0,26.0,32.0,44.0,550.0,37.5,68.0
PK701,Badin,Sindh,PK7,6574.99399534,24.75188819,68.80112619,96.0,42.0,35.4,64.0,250.0,72.1,83.2
PK702,Central Karachi,Sindh,PK7,65.14430682,24.94788264,67.06042308,38.0,42.0,32.5,52.0,43064.0,4.5,0.0
PK703,Dadu,Sindh,PK7,8017.50979333,26.76755163,67.50524221,96.0,68.0,35.4,64.0,250.0,68.3,75.0
PK704,East Karachi,Sindh,PK7,202.92209824,24.93169635,67.16310677,38.0,42.0,32.5,52.0,10214.0,6.8,0.0
PK705,Ghotki,Sindh,PK7,6366.9015852,27.86581219,69.68379543,84.0,42.0,35.4,64.0,250.0,69.1,75.0
PK706,Hyderabad,Sindh,PK7,1018.90994912,25.3549688,68.44437083,84.0,42.0,35.4,64.0,2240.0,28.5,19.8
PK707,Jacobabad,Sindh,PK7,2691.19918092,28.17641888,68.51427896,96.0,42.0,36.8,74.0,250.0,76.4,72.0
PK708,Jamshoro,Sindh,PK7,11230.86677138,25.78587411,67.8521514,96.0,68.0,35.4,64.0,250.0,71.3,75.0
PK709,Kambar Shahdad Kot,Sindh,PK7,5597.19296558,27.64661333,67.68315593,84.0,42.0,35.4,64.0,250.0,68.0,75.0
PK710,Kashmore,Sindh,PK7,2614.88804631,28.23644396,69.16735286,96.0,42.0,36.8,74.0,250.0,75.8,75.0
PK711,Khairpur,Sindh,PK7,16005.55620437,26.95958378,68.94114084,96.0,42.0,35.4,64.0,250.0,62.1,75.0
PK712,Korangi Karachi,Sindh,PK7,104.292021,24.83296763,67.14577966,38.0,42.0,32.5,52.0,8500.0,12.0,0.0
PK713,Larkana,Sindh,PK7,1921.04093378,27.53083887,68.20205345,96.0,42.0,36.8,74.0,250.0,57.4,75.0
PK714,Malir Karachi,Sindh,PK7,2726.86074484,25.20658479,67.15990752,84.0,42.0,32.5,52.0,860.0,24.5,38.5
PK715,Matiari,Sindh,PK7,1457.94118511,25.77083578,68.42166918,84.0,42.0,35.4,64.0,250.0,67.5,75.0
PK716,Mirpur Khas,Sindh,PK7,3463.16192375,25.30700511,69.15966851,96.0,42.0,35.4,64.0,250.0,68.0,75.0
PK717,Naushahro Feroze,Sindh,PK7,3036.86300686,26.88836032,68.09807679,96.0,42.0,35.4,64.0,250.0,63.8,75.0
PK718,Sanghar,Sindh,PK7,10158.32230876,25.97916664,69.29124101,96.0,68.0,35.4,64.0,250.0,66.4,75.0
PK719,Shaheed Benazir Abad,Sindh,PK7,4582.23727887,26.30942815,68.28446911,84.0,42.0,35.4,64.0,250.0,68.0,75.0
PK720,Shikarpur,Sindh,PK7,2551.82858965,27.92214297,68.57210016,96.0,42.0,36.8,74.0,250.0,73.2,75.0
PK721,South Karachi,Sindh,PK7,507.62533692,24.89329951,66.84196952,38.0,42.0,32.5,52.0,14756.0,5.2,0.0
PK722,Sujawal,Sindh,PK7,8687.46909659,24.38807462,68.15959914,96.0,42.0,35.4,64.0,250.0,79.2,88.5
PK723,Sukkur,Sindh,PK7,5178.71431705,27.5452996,69.06538781,84.0,42.0,36.8,74.0,288.0,48.2,75.0
PK724,Tando Allahyar,Sindh,PK7,1544.21552184,25.48053282,68.75265076,84.0,42.0,35.4,64.0,250.0,65.2,75.0
PK725,Tando Muhammad Khan,Sindh,PK7,1676.88704183,25.02470227,68.46005036,84.0,42.0,35.4,64.0,250.0,78.4,75.0
PK726,Tharparkar,Sindh,PK7,19682.93368476,24.94313761,70.24100586,84.0,92.0,35.4,64.0,84.0,87.0,95.8
PK727,Thatta,Sindh,PK7,7630.46055566,24.69419785,67.70902408,96.0,42.0,35.4,64.0,115.0,78.5,82.1
PK728,Umer Kot,Sindh,PK7,5489.58552876,25.33269304,69.81135762,84.0,42.0,35.4,64.0,250.0,68.0,75.0
PK729,West Karachi,Sindh,PK7,241.76628397,24.98689727,67.00838153,38.0,42.0,32.5,52.0,4200.0,15.4,4.2
